总价(万),单价(元/平米),房型,楼层,朝向,户型结构,装修情况,总面积,建造时间,小区名称,地区,是否有电梯,建筑结构,梯户比例,total_price,unit_price,total_area,build_year,community,district,room_cnt,hall_cnt,toilet_cnt,floor_level,floor_code,direction_clean,is_south_facing,decoration_type,decoration_score,area_range,house_age,age_range,price_level,elevator_num,household_num,density,is_valid
166.0,12402,4室2厅2卫,高楼层,南北,平层,精装,133.85,2015,珠江郦城薰衣道,开福,有,钢混结构,两梯四户,166.0,12402,133.85,2015,珠江郦城薰衣道,开福,4,2,2,高楼层,3,南北通透,1,精装,3,中户型(90-144㎡),11,老房(11-20年),豪宅,,,,1
128.8,12047,3室2厅2卫,低楼层,东南,平层,其他,106.92,2016,鑫苑名家,岳麓,有,钢混结构,两梯四户,128.8,12047,106.92,2016,鑫苑名家,岳麓,3,2,2,低楼层,1,东南,1,其他,0,中户型(90-144㎡),10,次新房(6-10年),豪宅,,,,1
120.0,9792,4室2厅2卫,低楼层,南,平层,其他,122.55,2019,龙湖璟宸原著紫宸,望城,有,钢混结构,两梯四户,120.0,9792,122.55,2019,龙湖璟宸原著紫宸,望城,4,2,2,低楼层,1,正南,1,其他,0,中户型(90-144㎡),7,次新房(6-10年),豪宅,,,,1
105.0,7950,3室2厅2卫,低楼层,南,平层,毛坯,132.09,2005,山水英伦庄园,岳麓,有,钢混结构,其他,105.0,7950,132.09,2005,山水英伦庄园,岳麓,3,2,2,低楼层,1,正南,1,毛坯,1,中户型(90-144㎡),21,老旧房(>20年),豪宅,,,,1
168.0,12190,3室2厅2卫,高楼层,南北,平层,其他,137.82,2014,茂华禧都会,雨花,有,钢混结构,两梯四户,168.0,12190,137.82,2014,茂华禧都会,雨花,3,2,2,高楼层,3,南北通透,1,其他,0,中户型(90-144㎡),12,老房(11-20年),豪宅,,,,1
130.0,10105,3室2厅1卫,中楼层,南,平层,精装,128.66,2016,长房半岛蓝湾一期,雨花,有,钢混结构,两梯八户,130.0,10105,128.66,2016,长房半岛蓝湾一期,雨花,3,2,1,中楼层,2,正南,1,精装,3,中户型(90-144㎡),10,次新房(6-10年),豪宅,,,,1
25.0,6757,1室1厅1卫,中楼层,北,平层,精装,37.0,2015,融科东南海,雨花,有,钢混结构,四梯二十五户,25.0,6757,37.0,2015,融科东南海,雨花,1,1,1,中楼层,2,北,0,精装,3,小户型(<90㎡),11,老房(11-20年),豪宅,4.0,25.0,6.25,1
95.0,10530,3室2厅1卫,中楼层,南北,平层,精装,90.22,2012,钱隆学府,天心,有,钢混结构,两梯三户,95.0,10530,90.22,2012,钱隆学府,天心,3,2,1,中楼层,2,南北通透,1,精装,3,中户型(90-144㎡),14,老房(11-20年),豪宅,,,,1
53.8,5952,3室2厅1卫,低楼层,南,平层,其他,90.4,2013,金地自在城,望城,有,钢混结构,两梯四户,53.8,5952,90.4,2013,金地自在城,望城,3,2,1,低楼层,1,正南,1,其他,0,中户型(90-144㎡),13,老房(11-20年),豪宅,,,,1
189.0,16185,3室2厅1卫,低楼层,南,平层,精装,116.78,2018,湘熙水郡,岳麓,有,钢混结构,两梯三户,189.0,16185,116.78,2018,湘熙水郡,岳麓,3,2,1,低楼层,1,正南,1,精装,3,中户型(90-144㎡),8,次新房(6-10年),豪宅,,,,1
